ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow
4969,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_03,AM_PEAK,Davis,place-davis,372722,3231,77,4841,42,9636
4972,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_03,AM_PEAK,Harvard,place-harsq,184960,85248,77,2402,1107,14115
4974,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_03,AM_PEAK,Kendall/MIT,place-knncl,56897,227641,77,739,2956,12922
4977,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_03,AM_PEAK,Porter,place-portr,255267,10087,77,3315,131,12820
4984,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Alewife,place-alfcl,196752,0,77,2555,0,2555
4990,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Central,place-cntsq,189460,85841,77,2461,1115,10904
4991,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Davis,place-davis,231035,6548,77,3000,85,5471
4994,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Harvard,place-harsq,233481,70560,77,3032,916,9558
4996,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Kendall/MIT,place-knncl,91860,197667,77,1193,2567,9529
4999,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_04,MIDDAY_BASE,Porter,place-portr,163336,11542,77,2121,150,7442
5006,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Alewife,place-alfcl,59955,0,77,779,0,779
5023,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Alewife,place-alfcl,7839,0,77,102,0,102
5116,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Central,place-cntsq,7345,2808,77,95,36,483
5118,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Davis,place-davis,8833,77,77,115,1,216
5124,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Harvard,place-harsq,12062,1688,77,157,22,424
5145,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Kendall/MIT,place-knncl,1389,5162,77,18,67,434
5150,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Porter,place-portr,6098,409,77,79,5,289
5161,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Alewife,place-alfcl,72111,0,77,937,0,937
5167,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Central,place-cntsq,21951,18096,77,285,235,2159
5168,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Davis,place-davis,43926,550,77,570,7,1500
5171,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Harvard,place-harsq,27623,7437,77,359,97,2109
5173,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Kendall/MIT,place-knncl,6930,25192,77,90,327,1922
5176,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Porter,place-portr,28278,1548,77,367,20,1847
5205,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_09,NIGHT,Porter,place-portr,1268,133,77,16,2,45
5207,1,Fall 2019,Red,Red Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Alewife,place-alfcl,0,42133,12,0,3511,0
5225,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Harvard,place-harsq,48728,127965,77,633,1662,4133
5228,1,Fall 2019,Red,Red Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Central,place-cntsq,22853,50006,12,1904,4167,14437
5229,1,Fall 2019,Red,Red Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Davis,place-davis,2716,52742,12,226,4395,3511
5232,1,Fall 2019,Red,Red Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Harvard,place-harsq,24135,74149,12,2011,6179,10269
5234,1,Fall 2019,Red,Red Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Kendall/MIT,place-knncl,16913,24874,12,1409,2073,16700
5237,1,Fall 2019,Red,Red Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Porter,place-portr,4423,35494,12,369,2958,7680
5244,1,Fall 2019,Red,Red Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Alewife,place-alfcl,0,26079,8,0,3260,0
5250,1,Fall 2019,Red,Red Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Central,place-cntsq,17643,36527,8,2205,4566,15158
5251,1,Fall 2019,Red,Red Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Davis,place-davis,1438,35857,8,180,4482,3260
5254,1,Fall 2019,Red,Red Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Harvard,place-harsq,15557,53002,8,1945,6625,10477
5256,1,Fall 2019,Red,Red Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Kendall/MIT,place-knncl,12295,17421,8,1537,2178,17518
5259,1,Fall 2019,Red,Red Line,1,day_type_03,sunday,time_period_11,OFF_PEAK,Porter,place-portr,2664,25982,8,333,3248,7562
5277,1,Fall 2019,Red,Red Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Alewife,place-alfcl,42458,0,12,3538,0,3538
5279,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Central,place-cntsq,29389,143156,77,382,1859,3997
5283,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_07,EVENING,Harvard,place-harsq,148541,28143,77,1929,365,3620
5284,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Davis,place-davis,16320,47496,77,212,617,1255
5286,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Kendall/MIT,place-knncl,74515,60019,77,968,779,5944
5287,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Alewife,place-alfcl,0,7794,77,0,101,0
5297,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_07,EVENING,Kendall/MIT,place-knncl,116815,28006,77,1517,364,5431
5299,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Harvard,place-harsq,16938,176222,77,220,2289,1928
5301,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Kendall/MIT,place-knncl,13960,342585,77,181,4449,5474
5304,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Porter,place-portr,11635,32277,77,151,419,1660
5311,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Alewife,place-alfcl,0,84168,77,0,1093,0
5317,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Central,place-cntsq,48849,147544,77,634,1916,5279
5318,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Davis,place-davis,8917,88989,77,116,1156,1093
5321,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Harvard,place-harsq,36576,216085,77,475,2806,2948
5323,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Kendall/MIT,place-knncl,52114,211932,77,677,2752,6561
5326,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Porter,place-portr,8962,71688,77,116,931,2133
5333,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Alewife,place-alfcl,0,132451,77,0,1720,0
5339,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Central,place-cntsq,47597,107786,77,618,1400,5162
5340,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Davis,place-davis,3597,110015,77,47,1429,1720
5347,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_08,LATE_EVENING,Alewife,place-alfcl,0,32378,77,0,420,0
5348,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_07,EVENING,Porter,place-portr,52291,8973,77,679,117,2056
5360,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Porter,place-portr,6046,85409,77,79,1109,3102
